date,event,city,state,category
2024-02-14,CARNAVAL DA TRANQUILIDADE - SENADOR JOSÉ BENTO,Senador José Bento,MG,
2024-02-14,CARNAVAL BOM DEMAIS DE MINAS NOVAS 2024,Minas Novas,MG,
2024-02-14,CARNAQUIRAZ,Aquiraz,CE,Artístico/Cultural/Folclórico
2024-02-14,CACHOEIRA GADO BRAVO,Dom Bosco,MG,
2024-02-13,UAI FOLIA CAMPANHA SUL DE MINAS 2024,Campanha,MG,
2024-02-13,TOCOS FOLIA 2024,Tocos do Moji,MG,
2024-02-13,SOLEDADE FOLIA 2024,Soledade de Minas,MG,
2024-02-13,SAARA FOLIA 2024,Santo Antônio do Rio Abaixo,MG,
2024-02-13,REBANHÃO DE CARNAVAL 2024,Nova Serrana,MG,
2024-02-13,PROSA DE PANELA,Bueno Brandão,MG,
2024-02-13,MIRA! NO CARNAVAL 2024,Belo Horizonte,MG,
2024-02-13,MATINÊ DO CLUBE CAMPESTRE SAUDENSE,Dom Silvério,MG,
2024-02-13,MANGA FOLIA 2024,Manga,MG,
2024-02-13,MAIOR CARNAVAL DO SUL DE MINAS,Santa Rita do Sapucaí,MG,
2024-02-13,KAXÚ FOLIA 2024,Cachoeira de Minas,MG,
2024-02-13,JEQUIFOLIA,Jequitaí,MG,Artístico/Cultural/Folclórico
2024-02-13,JEQUIFOLIA,Jequitaí,MG,
2024-02-13,ITAFOLIA,Itamarandiba,MG,
2024-02-13,ITABIRITO FOLIA 2024,Itabirito,MG,
2024-02-13,FESTA: NOSSO CARNAVAL 2024,Belo Horizonte,MG,
2024-02-13,DOM FOLIA 2024,Dom Joaquim,MG,
2024-02-13,DESFILE DA BANDA E BLOCO FITA AMARELA,Belo Horizonte,MG,
2024-02-13,Carnaval,Caraguatatuba,SP,Artístico/Cultural/Folclórico
2024-02-13,Carnaval na Terra de Gigantes,Uberaba,MG,Artístico/Cultural/Folclórico
2024-02-13,Carnaval em Acari,Acari,RN,Artístico/Cultural/Folclórico
2024-02-13,Carnaval de Várzea Alegre,Várzea Alegre,CE,Artístico/Cultural/Folclórico
2024-02-13,Carnaval de São Lourenço do Sul 2024,São Lourenço do Sul,RS,Artístico/Cultural/Folclórico
2024-02-13,Carnaval de Maringá 2024,Maringá,PR,Artístico/Cultural/Folclórico
2024-02-13,Carnaval de Aratuba - Frio e Alegria,Aratuba,CE,Artístico/Cultural/Folclórico
2024-02-13,CarnaPraça 2024,Grajaú,MA,Artístico/Cultural/Folclórico
2024-02-13,Carna Xingu Altamira,Altamira,PA,Artístico/Cultural/Folclórico
2024-02-13,CONCEIÇÃO FOLIA,Conceição das Alagoas,MG,
2024-02-13,CIRCUITO SECRETO DE CARNAVAL,Belo Horizonte,MG,
2024-02-13,CARNAVAL,Três Marias,MG,
2024-02-13,CARNAVAL,Paraisópolis,MG,
2024-02-13,CARNAVAL,Palma,MG,
2024-02-13,CARNAVAL,Ouro Preto,MG,
2024-02-13,CARNAVAL,Oliveira,MG,
2024-02-13,CARNAVAL,Jeceaba,MG,
2024-02-13,CARNAVAL,Itinga,MG,
2024-02-13,CARNAVAL VISCONDE DO RIO BRANCO 2024,Visconde do Rio Branco,MG,
2024-02-13,CARNAVAL URUCÂNIA,Urucânia,MG,
2024-02-13,CARNAVAL SÃO PEDRO DA UNIÃO 2024,São Pedro da União,MG,
2024-02-13,CARNAVAL SÃO JOÃO NEPOMUCENO 2024,São João Nepomuceno,MG,
2024-02-13,CARNAVAL SMA FOLIA 2024,São Miguel do Anta,MG,
2024-02-13,CARNAVAL SERRO TRADIÇÃO E FOLIA,Serro,MG,
2024-02-13,CARNAVAL SEDUÇÃO RIO POMBA 2024,Rio Pomba,MG,
2024-02-13,CARNAVAL SAPUBELEZA,Sapucaí-Mirim,MG,
2024-02-13,CARNAVAL SANTA CRUZ DO ESCALVADO 2024,Santa Cruz do Escalvado,MG,
2024-02-13,CARNAVAL RAUL SOARES 2023,Raul Soares,MG,
2024-02-13,CARNAVAL RAPOSOS 2024,Raposos,MG,
2024-02-13,CARNAVAL RADICAL DIAMANTINA 2024,Diamantina,MG,
2024-02-13,CARNAVAL PONTEFOLIA,Ponte Nova,MG,
2024-02-13,CARNAVAL NOS CLUBES DO CRUZEIRO,Belo Horizonte,MG,
2024-02-13,CARNAVAL NA TERRA DE GIGANTES,Uberaba,MG,
2024-02-13,CARNAVAL MPB E DIVERSIDADE,Nova Era,MG,
2024-02-13,CARNAVAL MINAS CLUBE 2024,Governador Valadares,MG,
2024-02-13,CARNAVAL MARMELOFOLIA 2024,Marmelópolis,MG,
2024-02-13,CARNAVAL LAMIM 2024,Lamim,MG,
2024-02-13,CARNAVAL KIDS 2024,Ipatinga,MG,
2024-02-13,CARNAVAL GUARANI 2024,Guarani,MG,
2024-02-13,CARNAVAL FARIA LEMOS - MG 2024,Faria Lemos,MG,
2024-02-13,CARNAVAL ESTRELA DALVA 2024,Estrela Dalva,MG,
2024-02-13,CARNAVAL EM SETE LAGOAS É TRANQUILIDADE,Sete Lagoas,MG,
2024-02-13,CARNAVAL EM SENADOR FIRMINO 2024,Senador Firmino,MG,
2024-02-13,CARNAVAL EM DOM VIÇOSO,Dom Viçoso,MG,
2024-02-13,CARNAVAL DOS SONHOS BEAGÁ 2024,Belo Horizonte,MG,
2024-02-13,CARNAVAL DONA EUZEBIA 2024,Dona Euzébia,MG,
2024-02-13,CARNAVAL DIAMANTINA 2024. ESPAÇO FOLIA - LARGO DOM JOÃO,Diamantina,MG,
2024-02-13,CARNAVAL DIAMANTINA 2024,Diamantina,MG,
2024-02-13,CARNAVAL DIAMANTINA 2024 MERCADO MUSICAL - PRAÇA DO MERCADO VELHO,Diamantina,MG,
2024-02-13,CARNAVAL DE UBERLÂNDIA 2024,Uberlândia,MG,
2024-02-13,CARNAVAL DE SÃO GERALDO,São Geraldo,MG,
2024-02-13,CARNAVAL DE SANTA BÁRBARA DO MONTE VERDE,Santa Bárbara do Monte Verde,MG,
2024-02-13,CARNAVAL DE RUA DE ITAHANDU 2024,Itanhandu,MG,
2024-02-13,CARNAVAL DE RUA - JANUÁRIA 2024,Januária,MG,
2024-02-13,CARNAVAL DE RIO CASCA 2024,Rio Casca,MG,
2024-02-13,CARNAVAL DE POÇOS DE CALDAS 2024,Poços de Caldas,MG,
2024-02-13,CARNAVAL DE PIRACEMA 2024,Piracema,MG,
2024-02-13,CARNAVAL DE PERDÕES 2024,Perdões,MG,
2024-02-13,CARNAVAL DE MORRO DO PILAR,Morro do Pilar,MG,
2024-02-13,CARNAVAL DE JANAÚBA 2024,Janaúba,MG,
2024-02-13,CARNAVAL DE ITAREMA,Itarema,CE,Artístico/Cultural/Folclórico
2024-02-13,CARNAVAL DE ITAPEVA 2024,Itapeva,MG,
2024-02-13,CARNAVAL DE ITAMARATI DE MINAS,Itamarati de Minas,MG,
2024-02-13,CARNAVAL DE INCONFIDENTES,Inconfidentes,MG,
2024-02-13,CARNAVAL DE IBERTIOGA - MG/2024,Ibertioga,MG,
2024-02-13,CARNAVAL DE EXTREMA 2024,Extrema,MG,
2024-02-13,CARNAVAL DE CUITÉ,Cuité,PB,Artístico/Cultural/Folclórico
2024-02-13,CARNAVAL DE CATUJI,Catuji,MG,
2024-02-13,CARNAVAL DA TRANQUILIDADE,São João das Missões,MG,
2024-02-13,CARNAVAL DA TRANQUILIDADE E ECOTURISMO,São João Batista do Glória,MG,
2024-02-13,CARNAVAL DA TRANQUILIDADE CONSOLAÇÃO,Consolação,MG,
2024-02-13,CARNAVAL DA TRANQUILIDADE 2024,Senador Amaral,MG,
2024-02-13,CARNAVAL DA TRANQUILIDADE 2024,Bom Repouso,MG,
2024-02-13,CARNAVAL DA SAUDADE - BAEPENDI 2024,Baependi,MG,
2024-02-13,CARNAVAL DA LIBERDADE TABULEIRO 2024,Tabuleiro,MG,
2024-02-13,CARNAVAL DA LIBERDADE MATEUS LEME 2024,Mateus Leme,MG,
2024-02-13,CARNAVAL DA LIBERDADE DE SÃO FRANCISCO DE PAULA,São Francisco de Paula,MG,
2024-02-13,CARNAVAL DA LIBERDADE DE MANHUMIRIM,Manhumirim,MG,
2024-02-13,CARNAVAL DA LIBERDADE DE MANHUMIRIM 2024,Manhumirim,MG,
2024-02-13,CARNAVAL DA LIBERDADE 2024,Bom Jardim de Minas,MG,
2024-02-13,CARNAVAL DA LIBERDADE 2024 - ALTO JEQUITIBÁ,Alto Jequitibá,MG,
2024-02-13,CARNAVAL DA FAMÍLIA 2024,Lagoa Santa,MG,
2024-02-13,CARNAVAL DA FAMILIA -2024,Paraopeba,MG,
2024-02-13,CARNAVAL CULTURAL ITABELEZA 2024,Itapecerica,MG,
2024-02-13,CARNAVAL CULTURAL DE TIRADENTES 2024,Tiradentes,MG,
2024-02-13,CARNAVAL CRUZÍLIA 2024,Cruzília,MG,
2024-02-13,CARNAVAL CORRENTINA FOLIA 2024,Correntina,BA,Artístico/Cultural/Folclórico
2024-02-13,CARNAVAL CHÁCARA-MG 2024,Chácara,MG,
2024-02-13,CARNAVAL CAXAMBU 2024,Caxambu,MG,
2024-02-13,CARNAVAL CARVALHOS 2024,Carvalhos,MG,
2024-02-13,CARNAVAL CARMO DA CACHOEIRA,Carmo da Cachoeira,MG,
2024-02-13,CARNAVAL CARANGOLA 2024,Carangola,MG,
2024-02-13,CARNAVAL CANAÃ 2024,Canaã,MG,
2024-02-13,CARNAVAL CAMBUÍ 2024,Cambuí,MG,
2024-02-13,CARNAVAL BELO VALE 2024,Belo Vale,MG,
2024-02-13,CARNAVAL A CAVALO,Bonfim,MG,
2024-02-13,CARNAVAL 2024,Rodeiro,MG,
2024-02-13,CARNAVAL 2024,Jequitibá,MG,
2024-02-13,CARNAVAL 2024,Estiva,MG,
2024-02-13,CARNAVAL 2024,Delfim Moreira,MG,
2024-02-13,CARNAVAL 2024,Cristiano Otoni,MG,
2024-02-13,CARNAVAL 2024,Carmópolis de Minas,MG,
2024-02-13,CARNAVAL 2024 SÃO GONÇALO DO RIO PRETO,São Gonçalo do Rio Preto,MG,
2024-02-13,CARNAVAL 2024 DE LIMEIRA DO OESTE,Limeira do Oeste,MG,
2024-02-13,CARNAVAL 2024 DE DESCOBERTO,Descoberto,MG,
2024-02-13,CARNAVAL 2024 DE ALÉM PARAIBA,Além Paraíba,MG,
2024-02-13,CARNAVAL 2024 - DOCE TERRA EM FOLIA,Rio Doce,MG,
2024-02-13,CARNAVAL 2024  DE POUSO ALEGRE,Pouso Alegre,MG,
2024-02-13,CARNAVAL 2023 BARBACENA,Barbacena,MG,
2024-02-13,CARNAVAL - 2024,Santana de Cataguases,MG,
2024-02-13,CARNAVAL  2024,Goianá,MG,
2024-02-13,CARNARANTINA 2024,Arantina,MG,
2024-02-13,CARNAPORÃ,Araporã,MG,
2024-02-13,CARNAPIRANGA 2024,Piranga,MG,
2024-02-13,CARNAPINHAL,Santo Antônio do Pinhal,SP,Artístico/Cultural/Folclórico
2024-02-13,CARNAPEÇANHA 2024,Peçanha,MG,
2024-02-13,CARNAMOEDA,Moeda,MG,
2024-02-13,CARNAFELÍCIO,Joaquim Felício,MG,
2024-02-13,CARNACRISTAIS 2024,Cristais,MG,
2024-02-13,CARNACORDIS 2024,Cordisburgo,MG,
2024-02-13,CARNACHOEIRA - CARNAVAL DA LIBERDADE 2024,Cachoeira da Prata,MG,
2024-02-13,CARNABARÃO,Barão de Cocais,MG,
2024-02-13,CARNABARRA 2024,Barra Longa,MG,
2024-02-13,CARNA POTÉ,Poté,MG,
2024-02-13,CARNA MARESP 2024,Mar de Espanha,MG,
2024-02-13,CARNA LAGO CANGERÊ 2024,Campos Gerais,MG,
2024-02-13,CARNA CRISTINA 2024,Cristina,MG,
2024-02-13,CARNA BERILO 2024,Berilo,MG,
2024-02-13,CARNA ALEGRE 2024,São José do Alegre,MG,
2024-02-13,CAPIM FOLIA 2024,Capim Branco,MG,
2024-02-13,BOCAINA FOLIA 2024,Bocaina de Minas,MG,
2024-02-13,BLOCOS DE CARNAVAL,Viçosa,MG,
2024-02-13,BICAS FOLIA,Bicas,MG,Artístico/Cultural/Folclórico
2024-02-13,BICAS FOLIA 2024,Bicas,MG,
2024-02-13,BARRO PRETO FOLIA,Conceição da Aparecida,MG,
2024-02-13,ANDREFOLIA - CARNAVAL DA LIBERDADE 2024,Andrelândia,MG,
2024-02-13,325º Aniversário da Primeira Capital do Ceará,Aquiraz,CE,Social/Cívico/Histórico
2024-02-13,"Tradicional desfile de Rua, no Carnaval Holandes",Holambra,SP,Artístico/Cultural/Folclórico
2024-02-13,"CARNANVAL MORENO E SERENO, O QUE FAZER EM STO. A. DO ITAMBÉ",Santo Antônio do Itambé,MG,
2024-02-12,TUPACIGUARA FEST FOLIA 2024,Tupaciguara,MG,
2024-02-12,SEXTA CULTURAL DE CARNAVAL II,Padre Paraíso,MG,
2024-02-12,Pirafolia 2024,Aquidauana,MS,Artístico/Cultural/Folclórico
2024-02-12,PORTO FOLIA 2024,Senhora do Porto,MG,
2024-02-12,ORATÓRIOS FOLIA 2024,Oratórios,MG,
2024-02-12,JAC FOLIA 2024,Jacutinga,MG,
2024-02-12,GUIRICEMA FOLIA,Guiricema,MG,
2024-02-12,FOLIA SÃO FRANCISCO DE SALES,São Francisco de Sales,MG,
2024-02-12,DESFILE: BLOCO ME DEIXE,Belo Horizonte,MG,
2024-02-12,CARNAXICO 2024,Francisco Dumont,MG,
2024-02-12,CARNAVAL SANTA VITÓRIA,Santa Vitória,MG,
2024-02-12,CARNAVAL PORCÃO 2024,Belo Horizonte,MG,
2024-02-12,CARNAVAL MUNHOZ FOLIA,Munhoz,MG,
2024-02-12,CARNAVAL LAJINHA 2024,Lajinha,MG,
2024-02-12,CARNAVAL ITUIUTABA 2024,Ituiutaba,MG,
2024-02-12,CARNAVAL DOS MONTES,Santana dos Montes,MG,
2024-02-12,CARNAVAL DO CLUB415 2024,Belo Horizonte,MG,
2024-02-12,CARNAVAL DIAMANTINA 2024 ESPAÇO UNIVERSITÁRIO,Diamantina,MG,
2024-02-12,CARNAVAL DE SÃO DOMINGOS,São Domingos,GO,Artístico/Cultural/Folclórico
2024-02-12,CARNAVAL ABAETÉ SOU + FOLIA,Abaeté,MG,
2024-02-12,CARNAVAL 2024 SÃO ROQUE DE MINAS,São Roque de Minas,MG,
2024-02-12,CARNAVAL 2024 COM DJ JUNINHO PORTUGAL,Cruzília,MG,
2024-02-12,CARNAVAL - BLOCO SUVACO DE COBRA,Dom Silvério,MG,
2024-02-12,CARNAMORADA 2024,Morada Nova de Minas,MG,
2024-02-12,CARNAILHA E CARNABOI,Parintins,AM,Artístico/Cultural/Folclórico
2024-02-12,CARNABOM 2024,Bonfinópolis de Minas,MG,
2024-02-12,CARNA PRAÇA 2024,Varjão de Minas,MG,
2024-02-12,CARNA PIMENTA 2024,Pimenta,MG,
2024-02-12,CARNA CHACAL,Lagamar,MG,
2024-02-12,CAPUFOLIA,Caputira,MG,
2024-02-12,CAIANA FOLIA 2024,Caiana,MG,
2024-02-12,BLOCOS CARICATOS 2024,Belo Horizonte,MG,
2024-02-12,BLOCO DOS BONECOS E A VACA DA CACHAÇA A VACA LOUCA,Caiana,MG,
2024-02-12,BLOCO DAS CRIANÇAS CAIANA FOLIA,Caiana,MG,
2024-02-12,BEAGÁ NA FOLIA,Belo Horizonte,MG,
2024-02-12,BDFOLIA 2024,Bom Despacho,MG,
2024-02-12,BAILE DE MÁSCARAS,Uberlândia,MG,
2024-02-12,4ª EDIÇÃO: PUTZ DE CARNAVAL,Belo Horizonte,MG,
2024-02-12,2ª COMPETIÇÃO DE FANTASIAS DO CARNAPEÇANHA,Peçanha,MG,
2024-02-12,"EXPERIÊNCIA: ARTE, CERÂMICA E BRUNCH NO ATELIÊ",Brumadinho,MG,
2024-02-11,VENTAFOLIA,Alpinópolis,MG,
2024-02-11,ROTA BOM JARDIM,Caratinga,MG,
2024-02-11,MARILAC FOLIA,Marilac,MG,
2024-02-11,INHAPA FOLIA 2024 - CARNAVAL DA LIBERDADE,Inhapim,MG,
2024-02-11,GRAMADO IN CONCERT FESTIVAL INTERNACIONAL DE MÚSICA,Gramado,RS,Artístico/Cultural/Folclórico
2024-02-11,DESFILE: BAIANEIROS,Belo Horizonte,MG,
2024-02-11,CARNAVAL ORISAMBA 2024,Belo Horizonte,MG,
2024-02-11,CARNAVAL DE RUA DE SERRANOS - MG,Serranos,MG,
2024-02-11,CARNAVAL COM CRISTO 2024,Manhuaçu,MG,
2024-02-11,CARNAVAL 2024 COM BANDA BABY LISS,Cruzília,MG,
2024-02-11,CARNAPIE 2024,Piedade dos Gerais,MG,
2024-02-11,BLOCO DAS PIRANHAS CAIANA FOLIA,Caiana,MG,
2024-02-11,6º TRILHÃO BENIFICENTE,Lagoa Grande,MG,
2024-02-11,2ª EDIÇÃO: Ô BLOCO,Belo Horizonte,MG,
2024-02-11,"CARNAVAL DIAMANTINA 2024 , QUITANDA CULTURAL",Diamantina,MG,
2024-02-10,ROTA SABORES E SABERES,Caratinga,MG,
2024-02-10,Oba Festival - Carnaval São José do Rio Preto/SP,São José do Rio Preto,SP,Artístico/Cultural/Folclórico
2024-02-10,NOITE DOS ANTIGOS CARNAVAIS,Uberlândia,MG,
2024-02-10,Kerb Fest,Presidente Castelo Branco,SC,Artístico/Cultural/Folclórico
2024-02-10,ITA FOLIA 2024,Santo Antônio do Itambé,MG,
2024-02-10,FOLIA DE REIS DA CORTE,Varjão de Minas,MG,
2024-02-10,DESFILE DE CARNAVAL: QUANDO COME SE LAMBUZA,Belo Horizonte,MG,
2024-02-10,Carnaval Retrô,Garibaldi,RS,Artístico/Cultural/Folclórico
2024-02-10,CRISTOVAL DE MONTE ALEGRE,Monte Alegre,PA,Religioso
2024-02-10,CARNAZORO,Conceição dos Ouros,MG,
2024-02-10,CARNAVALIZA TAIÔ,Taiobeiras,MG,
2024-02-10,CARNAVAL,Rio Piracicaba,MG,
2024-02-10,CARNAVAL,Macapá,AP,Artístico/Cultural/Folclórico
2024-02-10,CARNAVAL,Indianópolis,MG,
2024-02-10,CARNAVAL POR AMOR,Parnaíba,PI,Artístico/Cultural/Folclórico
2024-02-10,CARNAVAL NA MARECHAL,Teresina,PI,Social/Cívico/Histórico
2024-02-10,CARNAVAL MIRAÍ,Miraí,MG,
2024-02-10,CARNAVAL MERCÊS,Mercês,MG,
2024-02-10,CARNAVAL ITAJUBÁ 2024,Itajubá,MG,
2024-02-10,CARNAVAL EM MANDASSAIA - LEME DO PRADO,Leme do Prado,MG,
2024-02-10,CARNAVAL DE TRÊS PONTAS,Três Pontas,MG,
2024-02-10,CARNAVAL DE RUA ALMENARA,Almenara,MG,
2024-02-10,CARNAVAL DE LUIS CORREIA,Luís Correia,PI,Artístico/Cultural/Folclórico
2024-02-10,CARNAVAL DE CONSELHEIRO LAFAIETE,Conselheiro Lafaiete,MG,
2024-02-10,CARNAVAL DA LIBERDADE 2024,Rio Espera,MG,
2024-02-10,CARNAVAL ABRE CAMPO,Abre Campo,MG,
2024-02-10,CARNAVAL 2024 COM BANDA ARQUIVO X,Cruzília,MG,
2024-02-10,CARNABUTI 2024,Novo Oriente de Minas,MG,
2024-02-10,CARNA COQUEIRAL,Lagamar,MG,
2024-02-10,BLOCOS CARICATOS,Santo Antônio do Itambé,MG,
2024-02-10,BLOCO SILVEZEIROS,Dom Silvério,MG,
2024-02-10,BLOCO PRA LÁ DE BAGDÁ,Caiana,MG,
2024-02-10,2 ° PRÉ CARNAVAL JENIPAPO,Jenipapo de Minas,MG,
2024-02-09,ZÉ PEREIRA DE PIRANGA,Piranga,MG,
2024-02-09,SEXTA CULTURAL DE CARNAVAL,Padre Paraíso,MG,
2024-02-09,MINDURI FOLIA 2024,Minduri,MG,
2024-02-09,LEITURA NAS FÉRIAS,Rio Pomba,MG,
2024-02-09,IPAFOLIA 2024 - IPANEMA MG,Ipanema,MG,
2024-02-09,FESTA: MONTE INSANO,Belo Horizonte,MG,
2024-02-09,FERINHA CULTURAL EM RITÍMO DE CARNAVAL,José Raydan,MG,
2024-02-09,FEIRA CULTURAL DE ARTESANATO & GASTRONOMIA: CARNAFÓRRO,Itanhomi,MG,
2024-02-09,FAMA FOLIA 2024,Fama,MG,
2024-02-09,CIRCUITO SECRETO DE CARNAVAL,Belo Horizonte,MG,
2024-02-09,CASA CHALÉ DE CARNAVAL,Belo Horizonte,MG,
2024-02-09,CARNAVAL DE MONTE SANTO DE MINAS,Monte Santo de Minas,MG,
2024-02-09,CARNAVAL DA TRANQUILIDADE DE MONTE VERDE,Camanducaia,MG,
2024-02-09,CARNAVAL DA LIBERDADE,Guaraciama,MG,
2024-02-09,CARNAVAL 2024,Bocaiúva,MG,
2024-02-09,CARNAVAL 2024 COM OBA OBA SAMBA HOUSE,Cruzília,MG,
2024-02-09,CARNAFOLIA 2024 DE SENHORA DE OLIVEIRA,Senhora de Oliveira,MG,
2024-02-09,CARNA MÍSTICO 2024,Bueno Brandão,MG,
2024-02-09,BLOCO SEXTOU,Dom Silvério,MG,
2024-02-09,"FEIRA  ARTESANAL, CULTURAL & GASTRONÔMICA DE MANHUAÇU",Manhuaçu,MG,
2024-02-08,“ABERTURA DO CARNAVAL DA LIBERDADE – TONINHO GERAES”,Belo Horizonte,MG,
2024-02-08,CARNAVALIZA ITAÚNA 2024,Itaúna,MG,
2024-02-08,CARNAVAL MULTICULTURAL DE TOUROS A TERRA DO DESCOBRIMENTO,Touros,RN,Artístico/Cultural/Folclórico
2024-02-08,CARNAVAL DE MUZAMBINHO,Muzambinho,MG,
2024-02-08,CARNAVAL DA LIBERDADE,Santos Dumont,MG,
2024-02-08,CARNAVAL DA BELLA IDADE,São Sebastião do Rio Preto,MG,
2024-02-08,BLOCO AIKIBÃO RIO POMBA,Rio Pomba,MG,
2024-02-05,FESTIVIDADES ALUSIVAS AO ANIVERSÁRIO DO MUNICÍPIO,Itarema,CE,Social/Cívico/Histórico
2024-02-05,FESTA DO SENHOR DO BONFIM,Muritiba,BA,Artístico/Cultural/Folclórico
2024-02-04,Verão Palhoça 2024,Palhoça,SC,Artístico/Cultural/Folclórico
2024-02-04,PRÉ-CARNAVAL EM CONTAGEM,Contagem,MG,
2024-02-04,PRÉ CARNAVAL 2024,Wenceslau Braz,MG,
2024-02-04,PRÉ CARNAVAL 2024,Gonçalves,MG,
2024-02-04,PRÉ CARNAVAL 2024 - ESQUENTA GUARANI,Guarani,MG,
2024-02-04,PASSAGEM DE COROA FOLIA DE SANTOS REIS OS MAGOS DO ORIENTE,São Gotardo,MG,
2024-02-04,LEILÃO DE GADO SÃO SEBASTIÃO,Nova Serrana,MG,
2024-02-04,Festa e Romaria do Bom Jesus dos Navegantes,Propriá,SE,Religioso
2024-02-04,Festa de Nossa Senhora dos Navegantes 128,Navegantes,SC,Religioso
2024-02-04,Festa das Naçoes  2024,Dois Córregos,SP,Artístico/Cultural/Folclórico
2024-02-04,FEIRA LIVRE DE CHÁCARA,Chácara,MG,
2024-02-04,ESQUENTA MONLÉ,João Monlevade,MG,
2024-02-04,DESFILE: AS CHARANGUEIRAS,Belo Horizonte,MG,
2024-02-04,DESFILE BLOCO BESOURINHOS,Belo Horizonte,MG,
2024-02-04,CONGOFOLIA 2024,Congonhal,MG,
2024-02-04,CARNAVAL,São Bento Abade,MG,
2024-02-04,CARNAVAL ANTECIPADO DE SÃO THOMÉ DAS LETRAS,São Thomé das Letras,MG,
2024-02-04,CARNAKVSH 2024!,Belo Horizonte,MG,
2024-02-04,CARNAKORGGO,Córrego do Bom Jesus,MG,
2024-02-04,CARNAFOLIA 2024 - CARNAVAL ANTECIPADO DE POUSO ALTO,Pouso Alto,MG,
2024-02-04,Barbosa Kerbbier Fest,Carlos Barbosa,RS,Artístico/Cultural/Folclórico
2024-02-04,BLOQUINHO DA ANA CASTELA,Belo Horizonte,MG,
2024-02-04,BLOQUINHO BOULEVARD,Belo Horizonte,MG,
2024-02-04,BLOCO DA THE CHOICE 2024,Belo Horizonte,MG,
2024-02-04,Arena Verão Esportiva,Caraguatatuba,SP,Esportivo
2024-02-04,A BELA E A FERA - UM MUSICAL,Ipatinga,MG,
2024-02-04,49° CAMPANHA DE POPULARIZAÇÃO DO TEATRO E DA DANÇA 2024,Belo Horizonte,MG,
2024-02-04,24º ENCONTRO DE FOLIA DE REIS,Patrocínio,MG,
2024-02-04,1ª ETAPA DA COPA FBR MTB 2024 - JACUTINGA-MG,Jacutinga,MG,
2024-02-03,Sommer Festival 2024,Blumenau,SC,Artístico/Cultural/Folclórico
2024-02-03,PRÉ CARNAVAL PEDREGOLE,Manhuaçu,MG,
2024-02-03,PRÉ CARNAVAL DO DIVINO 2024,Divinópolis,MG,
2024-02-03,PRÉ CARNAVAL (RENEGADOS),Dom Silvério,MG,
2024-02-03,O BLOQUINHO 2024,Governador Valadares,MG,
2024-02-03,GRAMADO IN CONCERT FESTIVAL INTERNACIONAL DE MÚSICA,Gramado,RS,Artístico/Cultural/Folclórico
2024-02-03,Festival Cananéia Verão 2024,Cananéia,SP,Outro
2024-02-03,FESTIVAL ESPECIARIAS - FESTIVAL GASTRONOMICO  GASTRONÔMICO,Bom Despacho,MG,
2024-02-03,FEIRINHA DA GENTE DE PRÉ CARNAVAL,São José do Divino,MG,
2024-02-03,DERRADEIRA,Bom Despacho,MG,
2024-02-03,CIRCUITO FOFO FORA DA FOLIA - JUIZ DE FORA 2024,Juiz de Fora,MG,
2024-02-03,CARNA BRETAS,Governador Valadares,MG,
2024-02-03,BANDA TROPICALIZE,Belo Horizonte,MG,
2024-02-03,BANDA MOLE 2024,Belo Horizonte,MG,
2024-02-03,2ª EDIÇÃO: FEIRA DE CARNAVAL ENDOSSA,Belo Horizonte,MG,
2024-02-02,Festa da Purificação,Santo Amaro,BA,Artístico/Cultural/Folclórico
2024-02-02,FESTA DA IEMANJÁ,Tramandaí,RS,Religioso
2024-02-02,CARNA ARCOS 2024,Arcos,MG,
2024-02-01,PRÉ-CARNAVAL 2024,São João Nepomuceno,MG,
2024-02-01,"TEMA: “VIVER BEAGÁ: ARTE, BOÊMIA E CARNAVAL”, BARTUCADA 2024",Belo Horizonte,MG,
2024-01-31,MÚSICA NA PRAÇA,Ipatinga,MG,
2024-01-31,FOLIA DE REIS,Bonfinópolis,GO,Religioso
2024-01-31,FESTIVAL NACIONAL DO CAMARÃO,Imbituba,SC,Artístico/Cultural/Folclórico
2024-01-31,ENSAIO: BLOCO ME BEIJA QUE SOU PAGODEIRO,Belo Horizonte,MG,
2024-01-31,BLOCO VELHA GUARDA DO SAMBA DE BH,Belo Horizonte,MG,
2024-01-30,ESQUENTA SANTA HELENA,Governador Valadares,MG,
2024-01-30,COPA JUNINHO ESPORTES DE VÔLEI DE PRAIA,Governador Valadares,MG,
2024-01-30,BLOQUINHO DO GEVE FOLIA,Governador Valadares,MG,
2024-01-29,ANIVERSÁRIO DO SERRO,Serro,MG,
2024-01-28,Vem pro Som e Por do Som,Caraguatatuba,SP,Artístico/Cultural/Folclórico
2024-01-28,VELOCIDADE COM RESPONSABILIDADE,São Paulo,SP,Social/Cívico/Histórico
2024-01-28,TEMPORADA POPULAR DO GRUPO CORPO 2024,Ipatinga,MG,
2024-01-28,IBIT TENNIS WELCOME,Governador Valadares,MG,
2024-01-28,Festa de Abertura da Vindima - 8ª Edição,Monte Belo do Sul,RS,Artístico/Cultural/Folclórico
2024-01-28,ENSAIO ABERTO: BANDA E BLOCO FITA AMARELA,Belo Horizonte,MG,
2024-01-28,ENCONTRO REGIONAL DE FOLIAS DE REIS DE INDIANÓPOLIS,Indianópolis,MG,
2024-01-28,Caraguá Tá Show,Caraguatatuba,SP,Artístico/Cultural/Folclórico
