id_evento,data_evento,nome_evento,cidade_evento,estado_evento,categoria_evento
1751,2025-04-11,South Summit Brazil 2025,Porto Alegre,RS,NaN
1752,2025-04-11,SOUTH SUMMIT BRAZIL,Porto Alegre,RS,NaN
1753,2025-04-11,FESTA DE EMANCIPAÇÃO POLÍTICA DE ACARI,Acari,RN,Social/Cívico/Histórico
1754,2025-04-11,Agile Trends 2025,São Paulo,SP,Científico ou Técnico
1755,2025-04-10,Feira Vila Criativa,Aquiraz,CE,NaN
1756,2025-04-08,Aniversário de Amparo,Amparo,SP,Social/Cívico/Histórico
1757,2025-04-07,FESTA DE SÃO JOSÉ,Igarassu,PE,NaN
1758,2025-04-06,Tem + Pet,São Roque,SP,Comercial ou Promocional
1759,2025-04-06,Festival Internacional de Corais 3 Fronteiras,Foz do Iguaçu,PR,Artístico/Cultural/Folclórico
1760,2025-04-06,FEIRA DE NEGÓCIOS - ADERES,Jaguaré,ES,Comercial ou Promocional
1761,2025-04-06,Excalibur Race,Paranapanema,SP,Esportivo
1762,2025-04-06,ANIVERSÁRIO DE MARABÁ,Marabá,PA,NaN
1763,2025-04-06,"Corrida Trabalha, Corre e Confia",Vila Velha,ES,Esportivo
1764,2025-04-05,FEIRA TURÍSTICA E CULTURAL DO XARÉU,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
1765,2025-04-05,Bailes da Melhor Idade - Especial de Páscoa,São Roque,SP,Artístico/Cultural/Folclórico
1766,2025-04-04,FLIPOÇOS - Feira do Livro de Poços de Caldas,Poços de Caldas,MG,NaN
1767,2025-04-04,FESTIVAL MUNDIAL DA POROROCA,São Domingos do Capim,PA,Artístico/Cultural/Folclórico
1768,2025-04-04,Diálogos em Turismo,Bagé,RS,NaN
1769,2025-04-02,36ª FEIRA DE EXPOSIÇÃO AGROPECUÁRIA DE PARINTINS – EXPOPIN,Parintins,AM,Comercial ou Promocional
1770,2025-04-01,Mulheres Inspiram Empresas Apoiam,Rio de Janeiro,RJ,Artístico/Cultural/Folclórico
1771,2025-03-30,Primeira etapa do STU Pro Tour Skate,Porto Alegre,RS,NaN
1772,2025-03-30,Domingo de Lazer,Santarém,PA,NaN
1773,2025-03-30,Desfile das Escolas de Samba,Porto Alegre,RS,NaN
1774,2025-03-30,Circuito BT Sul Etapa Vila Ventura - Viamão,Viamão,RS,Esportivo
1775,2025-03-30,Cariri Moto Fest,Crato,CE,NaN
1776,2025-03-30,CIRCUITO CORRER E CAMINHAR NA NATUREZA,Natividade da Serra,SP,Esportivo
1777,2025-03-30,CICLO TURISMO,Paraíso do Tocantins,TO,Ecoturismo
1778,2025-03-30,6ª EDIÇÃO CARIRI MOTO FEST,Crato,CE,Artístico/Cultural/Folclórico
1779,2025-03-29,Festividades - Aniversário Aracaju 170 anos,Aracaju,SE,Artístico/Cultural/Folclórico
1780,2025-03-29,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
1781,2025-03-29,Alto Folia,Alto do Rodrigues,RN,NaN
1782,2025-03-29,40ª CORRIDA CIDADE DE ARACAJU,Aracaju,SE,Esportivo
1783,2025-03-28,Show Safra BR-163,Lucas do Rio Verde,MT,Comercial ou Promocional
1784,2025-03-28,Expo Turismo Paraná,Curitiba,PR,Comercial ou Promocional
1785,2025-03-27,CINEMA CIENTÍFICO | Ensaio sobre a cegueira,São Paulo,SP,Científico ou Técnico
1786,2025-03-26,4º Agro Show,Lucas do Rio Verde,MT,Artístico/Cultural/Folclórico
1787,2025-03-23,São Roque Music Fest - Rock,São Roque,SP,Artístico/Cultural/Folclórico
1788,2025-03-23,Liga Panema de Vôlei de Praia,Paranapanema,SP,Esportivo
1789,2025-03-23,IV RODEIO CRIOULO DO CENTRO NATIVISTA ESTÂNCIA DO CHIMARRÃO,Cachoeira do Sul,RS,Artístico/Cultural/Folclórico
1790,2025-03-23,FESTA DAS COLHEITAS,Caxias do Sul,RS,NaN
1791,2025-03-23,Expo Umuarama 2025,Umuarama,PR,Rural
1792,2025-03-23,Encontro de Carros Antigos,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
1793,2025-03-23,Catarina Sports Edition,São Roque,SP,Esportivo
1794,2025-03-22,Sábado de Sol | Observação solar com telescópio,São Paulo,SP,Científico ou Técnico
1795,2025-03-22,Pesca & Companhia Trade Show,São Paulo,SP,Ecoturismo
1796,2025-03-22,Física para Todos,São Paulo,SP,Científico ou Técnico
1797,2025-03-22,12ª Vertente da Canção Nativa e 2ª Vertentinha,Piratini,RS,Artístico/Cultural/Folclórico
1798,2025-03-20,Soltura de Quelônios,Nhamundá,AM,Ecoturismo
1799,2025-03-20,PLANETA TERRA: O QUE ESTÁ MUDANDO?,São Paulo,SP,Científico ou Técnico
1800,2025-03-20,42º Encontro Nacional Abrasel,Natal,RN,Científico ou Técnico
1801,2025-03-20,"Fimec - Feira Internacional de Couros, Produtos Químicos, Componentes...",Novo Hamburgo,RS,Comercial ou Promocional
1802,2025-03-19,TRIDUO DE SAO JOSE,Zabelê,PB,Religioso
1803,2025-03-19,Festa de São José,Brejo da Madre de Deus,PE,Religioso
1804,2025-03-19,Festa de São José da comunidade Coqueiro,Jandaíra,BA,NaN
1805,2025-03-19,Feira do Artesão Homenagem,Santarém,PA,NaN
1806,2025-03-19,FESTA DE SÃO JOSÉ PADROEIRO DE GUAIBIM,Valença,BA,Religioso
1807,2025-03-18,TORNEIO DE PESCA ESPORTIVA DE TUCUNARÉ,Aparecida do Taboado,MS,Esportivo
1808,2025-03-17,Carnaval da Paz,Campina Grande,PB,Religioso
1809,2025-03-17,6º Concurso das Ala Ursas em Sapé,Sapé,PB,Artístico/Cultural/Folclórico
1810,2025-03-16,Verão São Tomé,Salvador,BA,Artístico/Cultural/Folclórico
1811,2025-03-16,Saint Patrick's Day Porto Alegre,Porto Alegre,RS,NaN
1812,2025-03-16,Romaria do Senhor dos Passos,São Cristóvão,SE,Religioso
1813,2025-03-16,Mulheres nas ciências e empreendedoras,São Paulo,SP,Social/Cívico/Histórico
1814,2025-03-16,Corrida do Abacaxi.,Sapé,PB,Esportivo
1815,2025-03-16,Corrida Histórica de Amparo,Amparo,SP,Esportivo
1816,2025-03-16,3ª Procissão Luminosa Venerável Roberto Giovanni,Casa Branca,SP,Religioso
1817,2025-03-16,23ª Festa de São Longuinho,Guararema,SP,Religioso
1818,2025-03-15,Regata Recife - Coroa do Avião 2025,Igarassu,PE,NaN
1819,2025-03-15,Escola de Talentos de Portas Abertas - Programa gratuito para jovens c...,São Paulo,SP,Científico ou Técnico
1820,2025-03-15,Alegria & Louvor,Maracanaú,CE,Religioso
1821,2025-03-15,"6ª Expedição 4x4 da Serra de Santana, edição LAGOA NOVA.",Lagoa Nova,RN,Esportivo
1822,2025-03-14,AULÃO DE DANÇA DIA DA MULHER,Paraíso do Tocantins,TO,Artístico/Cultural/Folclórico
1823,2025-03-13,Uma noite de Eclipse - Observação astronômica,São Paulo,SP,Científico ou Técnico
1824,2025-03-11,Boas Vindas Navios  Cat Alter do Chão,Alter do Chão,PA,NaN
1825,2025-03-09,CHEGADA DE DUARTE COELHO,Igarassu,PE,NaN
1826,2025-03-09,8ª etapa do 8º Circuito Regional de Cicloturismo - Entre Rios do Oes...,Entre Rios do Oeste,PR,Esportivo
1827,2025-03-08,PAIXÃO DE CRISTO,Igarassu,PE,NaN
1828,2025-03-08,Feira Orgânica e do Agricultor Rural,Promissão,SP,NaN
1829,2025-03-08,Eco Bike Feminino,São Desidério,BA,Esportivo
1830,2025-03-08,Dia da Mulher,Santarém,PA,NaN
1831,2025-03-08,11° Pesca Internacional ao Ticunaré - Pesti - Edição de Aço,Santa Terezinha de Itaipu,PR,Esportivo
1832,2025-03-07,Encontro Cultural Chica Chaves,Aracaju,SE,Artístico/Cultural/Folclórico
1833,2025-03-06,Boas vinda Navios,Santarém,PA,NaN
1834,2025-03-06,Aniversário de Alter do Chão,Alter do Chão,PA,NaN
1835,2025-03-05,comemoração aniversario da cidade,Lourdes,SP,Artístico/Cultural/Folclórico
1836,2025-03-05,Carnaval da Paz,Campina Grande,PB,Religioso
1837,2025-03-05,CARNAVAL NA SERRA,Luís Gomes,RN,Artístico/Cultural/Folclórico
1838,2025-03-05,CARNAVAL IGARASSU - 2025,Igarassu,PE,NaN
1839,2025-03-05,CARNA SANTA BÁRBARA,Santa Bárbara do Pará,PA,NaN
1840,2025-03-04,TRADICIONAL DESFILE DE RUA DO CARNAVAL HOLAMBRENSE,Holambra,SP,Artístico/Cultural/Folclórico
1841,2025-03-04,São Tomé Folia,São Tomé,RN,Artístico/Cultural/Folclórico
1842,2025-03-04,SEMANA SANTA,Holambra,SP,Artístico/Cultural/Folclórico
1843,2025-03-04,SEMANA DA CULTURA EVANGÉLICA,Portalegre,RN,Religioso
1844,2025-03-04,Nhamundá Folia,Nhamundá,AM,Artístico/Cultural/Folclórico
1845,2025-03-04,GINCANA DE CHARRETES,Holambra,SP,Artístico/Cultural/Folclórico
1846,2025-03-04,Folia em Acari,Acari,RN,Artístico/Cultural/Folclórico
1847,2025-03-04,Crescer – O Encontro da Família Católica,Campina Grande,PB,NaN
1848,2025-03-04,Conceição Folia,Conceição das Alagoas,MG,Artístico/Cultural/Folclórico
1849,2025-03-04,Circuito Tapajônico de Carnaval Alter do Chão e Santarém,Santarém,PA,NaN
1850,2025-03-04,Carnaval,São José de Mipibu,RN,Artístico/Cultural/Folclórico
1851,2025-03-04,Carnaval,Santana de Parnaíba,SP,Artístico/Cultural/Folclórico
1852,2025-03-04,Carnaval,Ilha Comprida,SP,NaN
1853,2025-03-04,Carnaval do Burita,Afonso Bezerra,RN,Artístico/Cultural/Folclórico
1854,2025-03-04,Carnaval de Nazaré Paulista,Nazaré Paulista,SP,Artístico/Cultural/Folclórico
1855,2025-03-04,Carnaval de Monte Alegre do Sul,Monte Alegre do Sul,SP,Social/Cívico/Histórico
1856,2025-03-04,Carnaval de Fortaleza,Fortaleza,CE,NaN
1857,2025-03-04,Carnaval de Currais Novos,Currais Novos,RN,Artístico/Cultural/Folclórico
1858,2025-03-04,Carnaval de Bragança,Bragança,PA,Artístico/Cultural/Folclórico
1859,2025-03-04,Carnaval de Bicas MG,Bicas,MG,Artístico/Cultural/Folclórico
1860,2025-03-04,Carnaval de Barra do Corda/MA,Barra do Corda,MA,Artístico/Cultural/Folclórico
1861,2025-03-04,Carnaval de Amparo,Amparo,SP,Artístico/Cultural/Folclórico
1862,2025-03-04,Carnaval da Alegria,Buíque,PE,Artístico/Cultural/Folclórico
1863,2025-03-04,Carnaval Três Pontas,Três Pontas,MG,Artístico/Cultural/Folclórico
1864,2025-03-04,Carnaval Serra Alegria,Serra Negra,SP,Artístico/Cultural/Folclórico
1865,2025-03-04,Carnaval Folia na Praça,Piraju,SP,NaN
1866,2025-03-04,Carnaval 2025 Poços de Caldas,Poços de Caldas,MG,Artístico/Cultural/Folclórico
1867,2025-03-04,Carnaval - Desfile das Escolas de Samba e Blocos,São Roque,SP,Artístico/Cultural/Folclórico
1868,2025-03-04,Carnaquiraz,Aquiraz,CE,Artístico/Cultural/Folclórico
1869,2025-03-04,CarnaCobra - O maior Carnaval Rural do Brasil,Parelhas,RN,Artístico/Cultural/Folclórico
1870,2025-03-04,Carna Xingu Altamira,Altamira,PA,Artístico/Cultural/Folclórico
1871,2025-03-04,Capim Folia 2025,Capim Branco,MG,Artístico/Cultural/Folclórico
1872,2025-03-04,CARNAVAL,Marapanim,PA,NaN
1873,2025-03-04,CARNAVAL DE RUA,Fernando Pedroza,RN,Artístico/Cultural/Folclórico
1874,2025-03-04,CARNAVAL DE BRAGANÇA - CARNAVAL DO CAETÉ,Bragança,PA,NaN
1875,2025-03-04,CARNAVAL DA PIPA,Pipa,RN,Artístico/Cultural/Folclórico
1876,2025-03-04,CARNAILHA E CARNABOI,Parintins,AM,Artístico/Cultural/Folclórico
1877,2025-03-04,CARNAFLORES,Holambra,SP,Artístico/Cultural/Folclórico
1878,2025-03-04,CANINDÉ FOLIA 2025,Canindé,CE,Artístico/Cultural/Folclórico
1879,2025-03-03,VI Feira Gastronômica e da Bioeconomia de Santarém,Santarém,PA,NaN
1880,2025-03-03,Torneio de Pesca do Tucunaré,Três Lagoas,MS,Esportivo
1881,2025-03-03,PENDENCIAS FOLIA,Pendências,RN,NaN
1882,2025-03-03,FESTA DE NOSSA SENHORA DO BONFIM,Igarassu,PE,NaN
1883,2025-03-03,Carnaval em Porto Mendes,Marechal Cândido Rondon,PR,Artístico/Cultural/Folclórico
1884,2025-03-03,Campeonato Valadarense e 1ª Etapa do Mineiro de Voo Livre no Pico da ...,Governador Valadares,MG,Esportivo
1885,2025-03-03,CARNAVAL DE RUA,Natividade da Serra,SP,Artístico/Cultural/Folclórico
1886,2025-03-03,CARNAVAL 2025,Santa Helena,PR,Artístico/Cultural/Folclórico
1887,2025-03-03,CARNAFOLIA,Rancharia,SP,NaN
1888,2025-03-03,11° PiraFolia,Aquidauana,MS,Artístico/Cultural/Folclórico
1889,2025-03-02,Samba de Monte,Montenegro,RS,Artístico/Cultural/Folclórico
1890,2025-03-02,Festa do Peão,Itapeva,MG,NaN
1891,2025-03-02,Carnaval,Itapeva,MG,NaN
1892,2025-03-01,JEQUI FOLIA  2025,Jequitaí,MG,Artístico/Cultural/Folclórico
1893,2025-03-01,Carnaval Família 2025 da Estância Turística de Tremembé,Tremembé,SP,Artístico/Cultural/Folclórico
1894,2025-03-01,Abertura da pesca em Limoeiro do Ajuru,Limoeiro do Ajuru,PA,Ecoturismo
1895,2025-03-01,Abertura da pesca do Mapará,Limoeiro do Ajuru,PA,NaN
1896,2025-03-01,"Carnaval de Muucgê 2025: cultura, raizes e alegria",Mucugê,BA,Artístico/Cultural/Folclórico
1897,2025-02-28,PORTO VERÃO ALEGRE,Porto Alegre,RS,NaN
1898,2025-02-28,CAMPEONATO DE BLOCOS,Fernando Pedroza,RN,Esportivo
1899,2025-02-28,Bailes da Melhor Idade - Especial de Carnaval,São Roque,SP,Artístico/Cultural/Folclórico
1900,2025-02-28,Aniversário de Cajamar,Cajamar,SP,Social/Cívico/Histórico
1901,2025-02-28,Abertura do Carnaval de Arraial do Cabo,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
1902,2025-02-28,7 Folia - Pré-carnaval,Sete Lagoas,MG,NaN
1903,2025-02-27,Instituto Principia exibe,São Paulo,SP,Científico ou Técnico
1904,2025-02-24,Boas Vindas Navios Cat Alter do Chão,Alter do Chão,PA,NaN
1905,2025-02-23,Domingo de Lazer Pôr do Sol no Mirante,Santarém,PA,NaN
1906,2025-02-23,Copa ED Adventure,Aparecida do Taboado,MS,Esportivo
1907,2025-02-23,Aniversário do Município de Campo Largo,Campo Largo,PR,Social/Cívico/Histórico
1908,2025-02-23,ANIVERSÁRIO DE PAU DARCO - TOCANTINS,Pau D'Arco,TO,Social/Cívico/Histórico
1909,2025-02-22,FEIRA TURÍSTICA E CULTURAL DO XARÉU,Arraial do Cabo,RJ,Artístico/Cultural/Folclórico
1910,2025-02-22,Eco Bike Masculino,São Desidério,BA,Esportivo
1911,2025-02-22,Eco Bike Masculino,São Desidério,BA,NaN
1912,2025-02-22,Circuito de Brechós no Ponteio Lar Shopping,Belo Horizonte,MG,Moda
1913,2025-02-22,Camarote Celebration,Maceió,AL,Artístico/Cultural/Folclórico
1914,2025-02-22,BLOCO CAVEIRA,Maceió,AL,Artístico/Cultural/Folclórico
1915,2025-02-22,Aniversário dos Catraieiros de Alter do Chão,Santarém,PA,NaN
1916,2025-02-22,Aniversário da Cidade de São Desidério,São Desidério,BA,Artístico/Cultural/Folclórico
1917,2025-02-22,Aniversario de 61 anos de Monções historia e cultura,Monções,SP,Artístico/Cultural/Folclórico
1918,2025-02-22,1º Torneio Entre Amigos - Jurumirim Sport Fishing,Paranapanema,SP,Esportivo
1919,2025-02-21,Feirão dos Blocos,Parintins,AM,Artístico/Cultural/Folclórico
1920,2025-02-20,Movelsul 2025,Bento Gonçalves,RS,Comercial ou Promocional
1921,2025-02-19,1º SEMINÁRIO DE CAFÉ CONILON,Jaguaré,ES,Rural
1922,2025-02-16,Mostra Minas Empreendedorismo e Brechós,Belo Horizonte,MG,Moda
1923,2025-02-16,FESTIVAL PELA PAZ,Poço Fundo,MG,Religioso
1924,2025-02-16,Carnaval de Todos - Carnaval Antecipado de Juazeiro,Juazeiro,BA,Artístico/Cultural/Folclórico
1925,2025-02-16,CPMX Copa Paulista de Motocross,Paranapanema,SP,Esportivo
1926,2025-02-16,Arena Esportiva,Arraial do Cabo,RJ,Esportivo
1927,2025-02-15,Soltura das Tartarugas,Santarém,PA,NaN
1928,2025-02-15,Estação Verão Show,Praia Grande,SP,Artístico/Cultural/Folclórico
1929,2025-02-15,Estação Verão Praia (Arenas de Verão),Praia Grande,SP,Artístico/Cultural/Folclórico
1930,2025-02-15,6ª Sfilata Del Vino de Guabiruba e A Maior Pizza de Santa Catarina,Guabiruba,SC,Artístico/Cultural/Folclórico
1931,2025-02-15,1ª Summer Night Run,Arraial do Cabo,RJ,Esportivo
1932,2025-02-14,Show Rural,Cascavel,PR,Rural
1933,2025-02-09,Verão Mergulhão,Santa Vitória do Palmar,RS,NaN
1934,2025-02-09,Taurus Festival,Amparo,SP,Gastronômico
1935,2025-02-09,Maratona do Vinho,Bento Gonçalves,RS,Esportivo
1936,2025-02-09,Festival de Torresmo e Churrasco Fogo de Chão,Arraial do Cabo,RJ,Gastronômico
1937,2025-02-09,Festa do Milho,Itapetininga,SP,Religioso
1938,2025-02-09,7ª etapa do 8º Circuito Regional de Cicloturismo - Céu Azul,Céu Azul,PR,Esportivo
1939,2025-02-08,IX Festival de Quadrilhas de Barreirinha,Barreirinha,AM,NaN
1940,2025-02-08,Dia do Evangélico,Angicos,RN,Religioso
1941,2025-02-08,Aramari Sport Fest,Aramari,BA,Esportivo
1942,2025-02-07,Observação Astronômica - Banho de Lua,São Paulo,SP,Científico ou Técnico
1943,2025-02-07,Chegada da Kamélia,Parintins,AM,Artístico/Cultural/Folclórico
1944,2025-02-07,10º Feira do Pequi em Caetité.,Caetité,BA,Gastronômico
1945,2025-02-05,ANIVERSÁRIO DO MUNICÍPIO,Itarema,CE,Social/Cívico/Histórico
1946,2025-02-05,ABUP SHOW Home · Gift · Têxtil · Decor,São Paulo,SP,Comercial ou Promocional
1947,2025-02-04,CARNAVAL NA SERRA,Martins,RN,Outro
1948,2025-02-03,‘CARNAJAGUÁ’,Jaguariúna,SP,NaN
1949,2025-02-03,DIA DO ROMEIRO,Canindé,CE,Religioso
1950,2025-02-03,Cristoval,Santarém,PA,NaN
1951,2025-02-02,Festival Verão na Serra,Serra Negra,SP,Artístico/Cultural/Folclórico
1952,2025-02-02,Festa do Bom Despacho,Passo de Camaragibe,AL,NaN
1953,2025-02-02,Festa da Padroeira de São Luís do Quitunde,São Luís do Quitunde,AL,NaN
1954,2025-02-02,Festa da Luz de Guarabira/PB,Guarabira,PB,NaN
1955,2025-02-02,Encontro Anual de Carros Antigos,Praia Grande,SP,Artístico/Cultural/Folclórico
1956,2025-01-31,Salão de Artes Plásticas de Praia Grande,Praia Grande,SP,Artístico/Cultural/Folclórico
1957,2025-01-31,ITAFÉRIAS,Itarema,CE,Artístico/Cultural/Folclórico
1958,2025-01-31,FESTA DE NOSSA SENHORA DAS DORES,Igarassu,PE,NaN
1959,2025-01-31,Corrida de São Sebastião,Cajamar,SP,Esportivo
1960,2025-01-31,Boas vindas Navios,Santarém,PA,NaN
1961,2025-01-31,Boas Vindas Navios,Santarém,PA,NaN
1962,2025-01-30,Festa do Padroeiro,Itapeva,MG,NaN
1963,2025-01-26,Lavagem da Esquina do Padre de 2025,Caetité,BA,Artístico/Cultural/Folclórico
1964,2025-01-26,5ª Edição do Festival Jazz Trancoso,Porto Seguro,BA,Artístico/Cultural/Folclórico
1965,2025-01-25,PARQUE DOS LAGOS RECEBE FESTIVAL DE FÉRIAS NESTE FIM DE SEMANA,Jaguariúna,SP,NaN
1966,2025-01-25,EXPOSIÇÃO CAMINHO DE DEVANEIOS NO CENTRO CULTURAL CORREIOS,Rio de Janeiro,RJ,Artístico/Cultural/Folclórico
1967,2025-01-25,11 ° Parada LGBT de Limeira SP,Limeira,SP,Outro
1968,2025-01-23,JURUÁ SUSTENTÁVEL - 70 ANOS DE DESENVOLVIMENTO,Juruá,AM,NaN
1969,2025-01-20,Festividade de São Sebastião,Altamira,PA,Religioso
1970,2025-01-20,Festa de São Sebastião,Rio Grande da Serra,SP,Religioso
1971,2025-01-20,Festa de São Sebastião,Parelhas,RN,Religioso
1972,2025-01-20,Festa de São Sebastião,Florânia,RN,Religioso
1973,2025-01-20,FESTA DO PADROEIRO,São Sebastião do Passe,BA,Religioso
1974,2025-01-20,FESTA DE SÃO SEBASTIÃO,Igarassu,PE,NaN
1975,2025-01-20,FESTA DE SÃO SEBASTIÃO,Belo Jardim,PE,Religioso
1976,2025-01-20,FESTA DE SÃO BENEDITO E SÃO SEBASTIÃO/ENCONTRO DOS GRUPOS FOLCLORIC...,Conceição da Barra,ES,Artístico/Cultural/Folclórico
1977,2025-01-20,Caminhada Ecológica de São Sebastião,São Desidério,BA,Religioso
1978,2025-01-20,Caminhada Ecológica de São Sebastião,São Desidério,BA,NaN
1979,2025-01-19,Natal em Blumenau,Blumenau,SC,Artístico/Cultural/Folclórico
1980,2025-01-19,Natal Luz de Gramado,Gramado,RS,Artístico/Cultural/Folclórico
1981,2025-01-19,Caminhada dos Emancipadores (Comemoração do Aniversário da Emancipa...,Praia Grande,SP,Esportivo
1982,2025-01-18,28ª Regata Festiva Aniversário de Praia Grande,Praia Grande,SP,Esportivo
1983,2025-01-15,Festa do Senhor do Bonfim do Povoado Gameleira,Jandaíra,BA,NaN
1984,2025-01-12,XXXVII Festival de Terno de Reis,Caetité,BA,Artístico/Cultural/Folclórico
1985,2025-01-12,Micareta de Almenara - Aniversário da Cidade,Almenara,MG,Outro
1986,2025-01-12,ABERTURA DO VERÃO,Pão de Açúcar,AL,NaN
1987,2025-01-12,40° Festividade de São Benedito de Ananindeua,Ananindeua,PA,Religioso
1988,2025-01-12,37º Sonho de Natal de Canela,Canela,RS,Religioso
1989,2025-01-11,Luzes do Potengi,São Paulo do Potengi,RN,Artístico/Cultural/Folclórico
1990,2025-01-11,FESTA DE BOM JESUS DOS NAVEGANTES,Pão de Açúcar,AL,NaN
1991,2025-01-11,CAMINHADA DA LUA CHEIA,Santa Vitória do Palmar,RS,NaN
1992,2025-01-07,Magia do Natal,Nova Petrópolis,RS,Artístico/Cultural/Folclórico
1993,2025-01-06,XXIX Natal dos Anjos,Dois Irmãos,RS,Artístico/Cultural/Folclórico
1994,2025-01-06,Vila Natalina e Caravana Natalina,Vila Velha,ES,Comercial ou Promocional
1995,2025-01-06,TERNO DE REIS,São Sebastião do Passe,BA,Religioso
1996,2025-01-06,Natal Regional,Felipe Guerra,RN,Artístico/Cultural/Folclórico
1997,2025-01-06,Natal Iluminado de Caxias,Caxias,MA,Artístico/Cultural/Folclórico
1998,2025-01-06,Natal Encantado,Praia Grande,SP,Outro
1999,2025-01-06,Natal Borbulhante,Garibaldi,RS,Artístico/Cultural/Folclórico
2000,2025-01-06,Natal 2024,Brotas,SP,Artístico/Cultural/Folclórico
2001,2025-01-06,NATAL ILUMINADO,Juazeiro,BA,Religioso
2002,2025-01-06,NATAL ENCANTADO DE RIACHO DA CRUZ/RN,Riacho da Cruz,RN,Religioso
2003,2025-01-06,NATAL ENCANTADO DE RIACHO DA CRUZ/RN,Riacho da Cruz,RN,Artístico/Cultural/Folclórico
2004,2025-01-06,Lajes em Festa,Lajes,RN,Social/Cívico/Histórico
2005,2025-01-06,Folia de Reis,Santana de Parnaíba,SP,Artístico/Cultural/Folclórico
2006,2025-01-06,Folia Viva: A Herança dos Reis,Pacaembu,SP,NaN
2007,2025-01-05,Sonho de Natal,Santa Fé do Sul,SP,Artístico/Cultural/Folclórico
2008,2025-01-05,Natal da Esperança,Lucas do Rio Verde,MT,Artístico/Cultural/Folclórico
2009,2025-01-05,Natal Imperial,Petrópolis,RJ,Artístico/Cultural/Folclórico
2010,2025-01-05,Festa de Santos Reis,Arez,RN,Religioso
2011,2025-01-05,13º Guararema Cidade Natal,Guararema,SP,Artístico/Cultural/Folclórico
2012,2025-01-03,Aniversário de Ananindeua,Ananindeua,PA,Social/Cívico/Histórico
2013,2025-01-02,Réveillon Mil Sorrisos,Japaratinga,AL,Comercial ou Promocional
2014,2025-01-01,virada do ano,Holambra,SP,Artístico/Cultural/Folclórico
2015,2025-01-01,Virada,Felipe Guerra,RN,Social/Cívico/Histórico
2016,2025-01-01,Show da Virada Paranapanema 2025,Paranapanema,SP,Artístico/Cultural/Folclórico
2017,2025-01-01,Réveillon,Praia Grande,SP,Outro
2018,2025-01-01,Réveillon,Porto dos Gaúchos,MT,Social/Cívico/Histórico
2019,2025-01-01,Réveillon,Piratuba,SC,Outro
2020,2025-01-01,Réveillon de Todos Nós,Juazeiro,BA,Artístico/Cultural/Folclórico
2021,2025-01-01,Réveillon da Orla de Ananindeua,Ananindeua,PA,Artístico/Cultural/Folclórico
2022,2025-01-01,Réveillon da Orla da Coroa Grande,Itaguaí,RJ,Artístico/Cultural/Folclórico
2023,2025-01-01,Réveillon 2025 de Pingo D´Água,Pingo-D'Água,MG,Social/Cívico/Histórico
2024,2025-01-01,Réveillon 2024/2025,Paragominas,PA,Artístico/Cultural/Folclórico
2025,2025-01-01,RÉVEILLON,Baía Formosa,RN,Social/Cívico/Histórico
2026,2025-01-01,Reveillon,Natal,RN,Outro
2027,2025-01-01,Reveillon de Bragança,Bragança,PA,Outro
2028,2025-01-01,REVEILLON  2024/2025,Santa Helena,PR,Artístico/Cultural/Folclórico
2029,2025-01-01,Festival Virada Salvador 2025,Salvador,BA,Artístico/Cultural/Folclórico
2030,2025-01-01,Festa da Virada,Apiaí,SP,Artístico/Cultural/Folclórico
2031,2025-01-01,Festa da Padroeira de Nossa Senhora do Rosário,Acari,RN,Religioso
2032,2025-01-01,FESTA DA VIRADA,Holambra,SP,Artístico/Cultural/Folclórico
2033,2025-01-01,Confraternização Universal,Guarapuava,PR,Artístico/Cultural/Folclórico
2034,2025-01-01,Ano Novo,Amparo,SP,Outro
2035,2024-12-31,VIRADA NO LAGO,Fraiburgo,SC,Artístico/Cultural/Folclórico
2036,2024-12-31,Réveillon,São Pedro da Aldeia,RJ,Artístico/Cultural/Folclórico
2037,2024-12-31,Réveillon,Arraial do Cabo,RJ,Comercial ou Promocional
2038,2024-12-31,Réveillon da Esperança,Lucas do Rio Verde,MT,Artístico/Cultural/Folclórico
2039,2024-12-31,Réveillon da Cidade,Nhamundá,AM,Outro
2040,2024-12-31,RÉVEILLON,Jijoca de Jericoacoara,CE,Artístico/Cultural/Folclórico
2041,2024-12-31,RÉVEILLON,Fernando Pedroza,RN,Artístico/Cultural/Folclórico
2042,2024-12-31,RÉVEILLON CULTURAL DE PORTALEGRE/RN,Portalegre,RN,Outro
2043,2024-12-31,RÉVEILLON 2025,Estiva,MG,NaN
2044,2024-12-31,Natal no Caminho das Estrelas,Carlos Barbosa,RS,Artístico/Cultural/Folclórico
2045,2024-12-31,Natal Luzes da Serra,Serra Negra,SP,Artístico/Cultural/Folclórico
2046,2024-12-31,Natal Espetacular,Garça,SP,Artístico/Cultural/Folclórico
2047,2024-12-31,Natal Cajamar Feliz,Cajamar,SP,Artístico/Cultural/Folclórico
2048,2024-12-31,NATAL DE LUZ,Armação dos Búzios,RJ,Religioso
2049,2024-12-31,Festa de Natal e Ano Novo de  Alagoinha-PE,Alagoinha,PE,Social/Cívico/Histórico
